Contraste	Contexts
l,ʁ	p,ɛ	e,e	k,a	ɔ,i
a,j	p,ɛ	t,ɛ	p,e	i,ɛ
a,l	p,ɛ	p,e	i,ɡ	i,ɛ
a,ʁ	p,ɛ	t,ɛ	p,e	b,t
j,l	p,ɛ	p,e	i,ɛ	ʒ,a
j,ʁ	p,ɛ	œ,a	t,ɛ	p,e
ø,j	p,ɛ	d,ɔ	d,a
ø,l	p,ɛ	d,a	p,d
ø,ʁ	p,ɛ	d,p	t,a	d,a
t,l	k,a	ɔ,i	i,i	ɔ,ɔ
t,ʁ	k,a	ɔ,i	i,i	t,ɛ
y,l	f,a	ɡ,i	p,d	b,s
y,ʁ	t,ɛ	t,e	f,a	d,p
ɔ,ʁ	p,ɛ	ɛ,p	i,b	t,d
f,l	k,a	ɔ,i	i,i	u,ə
f,ʁ	k,a	ɔ,i	i,i	u,ə
ɔ,l	p,ɛ	i,b	i,t
a,ø	p,ɛ	d,t	p,s	p,k
ɔ,a	p,ɛ	p,s	p,k	b,t
d,s	d,ə	e,e	ɔ,i	i,i
k,s	i,i	ə,u	ɔ,t	e,ɛ
m,s	e,e	ɔ,i	i,i	u,ə
k,ʒ	o,u	i,i	ə,u	t,u
b,t	o,u	ɔ,i	ə,u	a,s
n,t	o,u	e,e	ɔ,i	i,i
p,t	o,u	ɔ,i	i,i	ə,u
k,t	o,u	i,i	ə,u	i,ɛ
m,t	o,u	e,e	ɔ,i	i,i
b,ʒ	o,u	ɔ,i	ə,u	ə,ə
m,ɡ	o,u	ə,u	i,a	a,ɛ
n,k	o,u	i,i	ə,u	i,ɛ
m,k	o,u	i,i	ə,u	ɔ,t
p,k	o,u	i,i	ə,u	t,u
b,k	o,u	ə,u	e,ɛ	ɔ,s
t,ʒ	o,u	ɔ,i	i,i	ə,u
ɡ,k	o,u	ə,u	e,a	i,a
p,m	o,u	ɔ,i	i,i	ə,u
b,n	o,u	ɔ,i	ə,u	ɔ,s
p,n	o,u	ɔ,i	i,i	ɔ,ɔ
b,p	o,u	ɔ,i	ə,u	e,ɛ
m,d	e,e	ɔ,i	i,i	u,ə
n,d	e,e	ɔ,i	i,i	u,ə
l,d	e,e	ɔ,i	i,i	u,ə
d,t	e,e	ɔ,i	i,i	t,ɛ
s,ʁ	e,e	ɔ,i	i,i	u,ə
p,ʁ	e,e	k,a	ɔ,i	i,i
n,s	e,e	ɔ,i	i,i	u,ə
m,n	e,e	ɔ,i	i,i	u,ə
l,p	e,e	k,a	ɔ,i	i,i
e,ʁ	k,a	t,ɛ	t,e	u,d
i,ʁ	k,a	b,d	d,p	d,s
w,ʁ	k,a	v,a	f,a	s,a
w,l	k,a	f,a	e,a	s,a
ə,l	k,a	k,d	k,k	k,ɛ
ə,t	k,a	s,d	k,s	s,f
ɛ,l	i,s	ɛ,d	i,t	ɛ,t
ɛ,t	u,d	s,d	k,s	u,s
ʃ,l	e,ɛ	i,ɛ	ə,ə	e,a
ʃ,t	u,d	i,ɛ	i,a	a,e
ʃ,ʁ	u,d	e,ɛ	i,ɛ	ɔ,d
k,ʁ	i,i	ə,u	ɔ,t	t,u
a,t	t,ɛ	u,d	s,d	k,s
f,t	k,a	ɔ,i	i,i	ə,u
i,t	k,a	s,d	k,s	u,s
i,l	k,a	ʒ,a	b,d	k,d
u,l	k,a	b,d	k,d	b,s
ɡ,l	ɛ,z	i,a	i,e	a,ɛ
ɡ,t	ə,u	i,a	i,e	ɛ,ɛ
n,l	ɔ,i	i,i	u,ə	ɔ,ɔ
n,ʁ	ɔ,i	i,i	u,ə	t,ɛ
e,l	k,a	ʒ,a	b,d	b,i
u,ʁ	k,a	t,e	v,e	v,a
ə,ʁ	k,a	d,p	d,s	d,f
ɛ,w	v,a	f,a	s,a	t,a
a,i	d,t	p,s	z,k	b,t
f,w	k,a	e,a	s,a	t,a
i,w	k,a	ʒ,a	s,a	d,a
u,i	k,a	d,t	p,s	s,d
u,w	k,a	v,a	t,a
ə,i	k,a	d,t	s,d	k,s
e,p	k,a	s,e	s,a	s,ɛ
e,w	k,a	ʃ,a	v,a	ʒ,a
p,w	k,a	v,a	e,a	s,a
s,i	b,t	k,s	k,t	k,k
f,e	k,a	i,k	s,a	s,ɛ
ə,e	k,a	d,t	s,d	k,s
