Contrasts	Context
l ʁ	['p,ɛ', 'e,e', 'k,a', 'ɔ,i', 'a,ɡ', 'i,i', 'u,ə', 'ɔ,ɔ', 'œ,o', 'p,e', 'b,ɛ', 'ɔ,t', 'f,a', 'a,f', 'i,ɛ', 'ɔ,d', 'b,d', 'a,p', 'b,i', 'ə,ə', 'ɛ,ɔ', 'u,v', 'a,s', 't,i', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɡ,ɔ', 'ɛ,p', 'u,ɛ', 'i,b', 't,ə', 's,a', 'b,p', 't,o', 'ɡ,a', 'b,ɔ', 'b,ø', 'ɡ,i', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'i,v', 'a,o', 'ɛ,ʒ', 'ɡ,ə', 'o,ə', 'i,s', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'p,ɔ', 'a,ɛ', 'ɛ,t', 'œ,p', 'o,i', 'e,ə', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'œ,ɛ', 'ɛ,a', 'b,e', 'e,a', 'e,i', 'i,p', 'ɡ,ɛ', 'ɛ,f', 'ə,ɔ', 'œ,f', 'ə,e', 'b,ə', 'ɛ,ə', 'ɛ,œ', 'ɔ,a', 'a,ɔ', 'k,ɛ', 'i,ə', 'ɛ,o', 'e,ɛ', 'k,i', 'f,ɛ', 'a,i', 'ɛ,e', 'p,i', 'b,a', 'a,a', 'p,a', 'a,t', 'b,k', 'ɛ,s', 'ɛ,œ̃']
ʁ l	['p,ɛ', 'e,e', 'k,a', 'ɔ,i', 'a,ɡ', 'i,i', 'u,ə', 'ɔ,ɔ', 'œ,o', 'p,e', 'b,ɛ', 'ɔ,t', 'f,a', 'a,f', 'i,ɛ', 'ɔ,d', 'b,d', 'a,p', 'b,i', 'ə,ə', 'ɛ,ɔ', 'u,v', 'a,s', 't,i', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɡ,ɔ', 'ɛ,p', 'u,ɛ', 'i,b', 't,ə', 's,a', 'b,p', 't,o', 'ɡ,a', 'b,ɔ', 'b,ø', 'ɡ,i', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'i,v', 'a,o', 'ɛ,ʒ', 'ɡ,ə', 'o,ə', 'i,s', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'p,ɔ', 'a,ɛ', 'ɛ,t', 'œ,p', 'o,i', 'e,ə', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'œ,ɛ', 'ɛ,a', 'b,e', 'e,a', 'e,i', 'i,p', 'ɡ,ɛ', 'ɛ,f', 'ə,ɔ', 'œ,f', 'ə,e', 'b,ə', 'ɛ,ə', 'ɛ,œ', 'ɔ,a', 'a,ɔ', 'k,ɛ', 'i,ə', 'ɛ,o', 'e,ɛ', 'k,i', 'f,ɛ', 'a,i', 'ɛ,e', 'p,i', 'b,a', 'a,a', 'p,a', 'a,t', 'b,k', 'ɛ,s', 'ɛ,œ̃']
a j	['p,ɛ', 't,ɛ', 'p,e', 'i,ɛ', 's,a', 's,ɛ', 'ɛ,ɛ', 'ɛ,d', 'ɛ,k', 'i,d', 'ɛ,a', 'a,t']
a l	['p,ɛ', 'p,e', 'i,ɡ', 'i,ɛ', 'b,d', 'u,v', 'ɛ,b', 'i,a', 'i,k', 'ɛ,p', 's,a', 'a,d', 'k,d', 'i,v', 'i,s', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'ɛ,t', 'p,d', 'b,s', 'ɛ,k', 'i,d', 'ɛ,a', 'e,v', 'i,p', 'e,ɛ', 'p,a', 'a,t', 'ɛ,s']
a ʁ	['p,ɛ', 't,ɛ', 'p,e', 'b,t', 'u,d', 'i,ɛ', 'b,d', 'u,p', 'd,p', 'd,s', 'u,v', 'a,s', 'ɛ,b', 'i,a', 't,ʒ', 'i,k', 't,v', 'ɛ,p', 's,a', 'a,d', 't,d', 't,b', 'k,d', 'i,v', 'ɛ,ʒ', 't,ʃ', 'i,s', 'u,k', 'ɛ,ɛ', 'ɛ,d', 't,s', 'i,t', 'ɛ,t', 'v,i', 'd,d', 'a,b', 'ɛ,k', 'i,d', 'a,k', 'ɛ,a', 'u,b', 'v,ɡ', 'a,v', 'i,p', 't,k', 'ɛ,v', 'd,k', 'v,k', 't,p', 'e,ɛ', 'ɛ,ʃ', 'p,a', 'a,t', 'ɛ,s']
j l	['p,ɛ', 'p,e', 'i,ɛ', 'ʒ,a', 'ɛ,ɔ', 'i,a', 'a,e', 'v,ɔ', 's,a', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'a,œ', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 'ɛ,œ', 'k,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t']
j ʁ	['p,ɛ', 'œ,a', 't,ɛ', 'p,e', 't,e', 'v,a', 'i,ɛ', 'ɛ,ɔ', 'i,a', 'a,e', 's,e', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'd,e', 'f,e', 's,ɛ', 'v,ɛ', 'u,k', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'a,ɛ', 'u,e', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 't,ɔ', 'k,ɛ', 'œ,e', 'f,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t', 'œ,s']
l j	['p,ɛ', 'p,e', 'i,ɛ', 'ʒ,a', 'ɛ,ɔ', 'i,a', 'a,e', 'v,ɔ', 's,a', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'a,œ', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 'ɛ,œ', 'k,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t']
ø j	['p,ɛ', 'd,ɔ', 'd,a']
ø l	['p,ɛ', 'd,a', 'p,d', 'p,a']
ø ʁ	['p,ɛ', 'd,p', 't,a', 'd,a', 'd,i', 'd,k', 'p,a']
ʁ j	['p,ɛ', 'œ,a', 't,ɛ', 'p,e', 't,e', 'v,a', 'i,ɛ', 'ɛ,ɔ', 'i,a', 'a,e', 's,e', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'd,e', 'f,e', 's,ɛ', 'v,ɛ', 'u,k', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'a,ɛ', 'u,e', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 't,ɔ', 'k,ɛ', 'œ,e', 'f,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t', 'œ,s']
t l	['k,a', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'k,ə', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'i,a', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,a', 'a,d', 'ɛ,i', 'i,e', 'i,v', 'a,o', 'ɛ,ʒ', 'i,s', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'a,ɛ', 'a,œ', 'o,i', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'u,u', 'ɛ,a', 'i,p', 'e,i', 'ɛ,f', 'ə,e', 'ɛ,œ', 'ɔ,a', 's,i', 'a,ɔ', 'k,ɛ', 'i,u', 'ɛ,o', 'e,ɛ', 'k,i', 'a,i', 'ɛ,e', 'p,i', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s', 'i,f']
t ʁ	['k,a', 'ɔ,i', 'i,i', 't,ɛ', 'ɔ,ɔ', 'ə,u', 'p,e', 'u,d', 'k,ə', 'a,f', 'i,ɛ', 'o,ɛ', 'ɔ,d', 'u,p', 'ə,ə', 'ɛ,ɔ', 'a,s', 'u,s', 'a,u', 'ɛ,b', 'i,a', 'u,ø', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,e', 's,a', 'e,u', 'a,d', 'ɛ,i', 'i,e', 'i,o', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'u,e', 'u,a', 'k,e', 'a,b', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ɛ,f', 'ə,ɔ', 'ə,e', 'ɛ,œ', 'ɛ,v', 'ɔ,a', 'a,ɔ', 'k,ɔ', 'ɛ,o', 'e,ɛ', 'k,i', 'ɛ,ʃ', 'a,i', 'ɛ,e', 'p,i', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s']
y l	['f,a', 'ɡ,i', 'p,d', 'b,s', 's,i', 'p,i']
y ʁ	['t,ɛ', 't,e', 'f,a', 'd,p', 'd,s', 'd,f', 'u,s', 't,d', 't,ø', 't,t', 't,a', 'v,d', 't,s', 'd,a', 'd,i', 'd,d', 'a,b', 'd,k', 't,p', 'k,i', 'f,i', 'p,i']
ɔ ʁ	['p,ɛ', 'ɛ,p', 'i,b', 't,d', 't,b', 't,k', 'd,k', 'v,k', 't,p']
f l	['k,a', 'ɔ,i', 'i,i', 'u,ə', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'i,k', 'e,ɔ', 'u,ɛ', 'i,e', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'i,ɔ', 'ə,ɔ', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
f ʁ	['k,a', 'ɔ,i', 'i,i', 'u,ə', 'ə,u', 'e,ɛ', 'i,ɛ', 'o,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'i,k', 'e,ɔ', 'u,ɛ', 's,a', 'i,e', 'u,i', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'o,i', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'ə,ɔ', 't,ɔ', 'ə,e', 'i,ə', 'a,i', 'a,a']
ɔ l	['p,ɛ', 'i,b', 'i,t']
a ø	['p,ɛ', 'd,t', 'p,s', 'p,k', 's,d', 'p,t', 'd,s', 'p,p', 's,k', 'p,d', 'p,a']
